date,comment
2021.12.02,将近一年半的时间里，中国的新冠死亡率为0。那些愚昧而又倔强的外国人难道从来不反思
2021.12.02,这是暴雷了吗
2021.12.02,投资要学王富济
2021.12.02,中外证券历史绝无仅有象以岭这样的上市公司，上市十余年还有一千五百余种高附加值产品
2021.12.02,董秘您好、请问贵公司2018年至今、陆续得到了海外很多国家对连花清瘟的认可及认证
2021.12.02,以岭业绩明年会更差，进来几次亏几次。什么通络三宝也别听这些人吹了。莲花以及西药集
2021.12.02,今天中午跟一朋友吃饭，他说今年专买热门股赚了2～3倍了，我语重心长地教育他要见好
2021.12.02,今天做了一个T，挣了个菜钱！[大笑][大笑][大笑]
2021.12.02,进来三次，亏三次，免费帮你打工了，以岭，老狗。
2021.12.02,董秘您好！建议公司的连花清瘟药品在央视的广告语能否修改一下：主要凸显“清瘟解毒，
2021.12.02,尾盘杀跌赶快买，尾盘拉升赶快卖，一般不会错。今天尾盘大家都买了吗[福]
2021.12.02,老龄化，冬季流感季，病毒新变种，医保谈判落地，莲花清瘟，营收增长，净利增长，pe
2021.12.02,什么时候涨
2021.12.02,除了吹牛没有别的本事
2021.12.02,吴董好，除连花清瘟外，贵公司还有其他相关的抗击病毒的周边产品吗？
2021.12.02,南非变种奥米克戎或许会转为普通流感病毒，请问公司连花清瘟在南部非洲国家有无注册？
2021.12.02,请问贵公司的连花清瘟胶囊在面对新冠病毒的非洲变种奥密克戎是否仍能够起到辅助治疗的
2021.12.02,董秘您好！以岭药业配方颗粒是否已经全部符合国家标准？合适才能全部完成国标？向国标
2021.12.02,国产药物已经崛起，加油，克制癌症，造福人类，福泽天下
2021.12.02,上市10年，没啥长进。
2021.12.02,虽然我每天在加仓，但墙倒众人推，无力回天。只是我这个小股东越做越大，仓位越来越重
2021.12.02,周哥，明天还适合上车吗？[呲牙]@钉子户老周
2021.12.02,以岭药业：融资净买入218.48万元，融资余额9.58亿元（11-25）
2021.12.02,尾盘一招断魂刀，太利索了！[赞][赞][赞]
2021.12.02,完了真的完了，这么丑陋的形象怎么能立足国际，就连国内都无法立足！很难想象吴以岭没
2021.12.02,幸亏卖了，垃圾股，280亿市值，我觉得能保住100亿就不错了，你跌到8元，我都不
2021.12.02,已套0.58
2021.12.02,尾盘跳水！这是怎么了？？？
2021.12.02,服你
2021.12.02,尾盘跳水！这是怎么了？
2021.12.02,跌停跌停跌停快一点
2021.12.02,这个是sB
2021.12.02,假药
2021.12.02,高开高走！
2021.12.02,垃圾垃圾
2021.12.02,以岭药业11月25日获深股通增持67.28万股
2021.12.02,股价是靠大资金抬上去的，只有小散在里面折腾的票，一般是阴跌不止。再多题材、概念，
2021.12.02,不要了
2021.12.02,彻底凉了，套0.48
2021.12.02,跌的真快
2021.12.02,吴以岭院士就是医药界的成吉思汗！称他为当代张仲景，李时珍一点不为过。
2021.12.02,携手央祝，广而告之，厉害了，以岭。
2021.12.02,这会对走势有影响吗？
2021.12.02,昨天说的17.6看来还真说多了[捂脸][捂脸][捂脸]乌拉！！！啪啪啪[怒]
2021.12.02,能耗着也是一种实力，至少钱是自己的不用付利息
2021.12.02,投资要有好心态，跌就买，涨也买，十年内不会破产的公司永远就是买，与公司共存亡。巴
2021.12.02,又那德性
2021.12.02,老乡别走继续钓鱼
2021.12.02,这还是这尿性，涨不起来、没大资金关注，一定是有原因的
2021.12.02,泄了
2021.12.02,买了5盒连花清瘟胶囊
2021.12.02,冬季，基本就是疫情，流感什么的，以岭药业又在底部盘整！有业绩，有未来……关注
2021.12.02,信不信以岭药业会被改名，哈哈哈！丑恶的嘴脸以岭你是掩饰不了的，暴露出来，来几个跌
2021.12.02,太弱了，割了[困顿]
2021.12.02,万古大傻起床射啦
2021.12.02,万古大傻还射不射了，没蛋的货
2021.12.02,这是追高买入就必死的黑名单股！一辈子不要碰！
2021.12.02,这个股做主力机构较分散，或主力吸筹不够，巅站岗的散户较多，主力不愿解放他们，所以
2021.12.02,完犊子了，没救
2021.12.02,习惯性回落
2021.12.02,现已套0.41
2021.12.02,同仁堂：5个点，片仔癀：我跟10个点，以岭：不跟
2021.12.02,外国病毒泛滥，以岭没有一点动作，说明以岭根本在外国没有市场，我算领略到那么多人骂
2021.12.02,一卖就涨
2021.12.02,世界医疗论坛达成共识未来大健康产业是最赚钱的。以美国为例，大健康产业占总产值五分
2021.12.02,怎么也不飞不出退市的命运，原来我是一支被割的韭菜。你的走出国门药，来的突然又兴奋
2021.12.02,以岭药业牛逼，在顺鑫与以岭之间，选了弱鸡，撤了，短期节奏明显出现问题，卖了，太弱
2021.12.02,来一次飞跃，别老是挨骂。没有股民的支持是不行的
2021.12.02,怎么也飞不出退市的命运，
2021.12.02,看不到希望，被牢牢套着
2021.12.02,就问你服不服，哈哈哈，乌拉乌拉！！！
2021.12.02,以岭药业：融资净买入132.59万元，融资余额9.67亿元（12-01）
2021.12.02,来来来大盘要起来，以岭又惊慌，它害怕得不得了
2021.12.02,现已套0.28
2021.12.02,质优价廉，大盘不稳定时期最佳股选，涨幅不大持续振荡上扬。
2021.12.02,呵呵，一致预期！形成合力往前冲
2021.12.02,风口上的也能飞起来的
2021.12.02,，一二三出货
2021.12.02,以岭怎么掩饰都掩饰不了它那的嘴脸
2021.12.02,挂16.5
2021.12.02,东方神药－莲花处处开
2021.12.02,专家说：Omicron或将加速终结大流行，这种病毒虽然不太可能被根除，但有可能会
2021.12.02,坑爹的股
2021.12.02,今天尾盘拉升的谜底揭开了，外国新冠特效药不及预期，只有预期的30%，导致国产疫苗
2021.12.02,昨天整个办公室人感染流感，我就买一盒莲花清瘟胶囊吃试试，第二天感冒全好了。这样好
2021.12.02,万古大傻咋不射了
2021.12.02,天亮啦，都醒醒吧！
2021.12.02,中药近期要起飞了
2021.12.02,吴总好，最近看到股吧微博上有些人吐槽连花清瘟治疗新冠没有科学的临床试验支持，希望
2021.12.02,“”冬季流行感冒，常备连花清瘟胶囊，好药呀“”。我站在刺骨的寒风中向南来北往的人
2021.12.02,明天以岭不涨，清仓走人，永不碰以岭
2021.12.02,让人能看到曙光不？
2021.12.02,让人能看到曙光不？
2021.12.02,只要不退市就等你涨起来，现在已经每股套0.37元
2021.12.02,在病毒肆虐的今天，估计对于90%以上的非医疗人员所能想到的抗新冠病毒的有效药物就
2021.12.01,以岭北京，石家庄一千余亩工厂己建成，加上衡水二千多亩明年可以完工，三地约有五百万
2021.12.01,我持股已经是333天，还亏五万左右[滴汗][哭]
2021.12.01,还不拉个涨停给我报销一下……
2021.12.01,感冒了[口罩][口罩][口罩][口罩][口罩]
2021.12.01,以岭药业极有可能超越白云山，同仁堂甚至片仔癀，成为中国中成药一哥，但是这条路很长
2021.12.01,这俩缺口有意思
2021.12.01,看明天开多少了，今日走成空方炮
2021.12.01,两边夹
2021.12.01,这个位置和线没必要卖，核心科技就是等。
2021.12.01,不要怕不就是点钱，套我一年多了不赚几十万就不卖。
2021.12.01,16.42见
2021.12.01,明天继续跌。加油，看好你
2021.12.01,你现在就可以清仓了，因为明天没有什么希望，除非有奇迹
2021.12.01,淡定，这就是以岭正常走势
2021.12.01,控盘厉害，收盘价刚好压在前天收盘价上方，看多，看多，哈哈
2021.12.01,上午16.7挂10手只成交1手，
2021.12.01,等它的新药上市得买点，听说治抑郁症
2021.12.01,真是个磨人的小妖精[捂脸]
2021.12.01,跌的好哇，明天再跌5个点
2021.12.01,快了，以岭药业的报应快来了，退市
2021.12.01,不要拿疫情说事，你们什么时间看淘宝上的莲花清温卖的没货了再说话，这药就是中国在用
2021.12.01,以岭老儿出来走两步
2021.12.01,日本封国
2021.12.01,在以岭久了，心态也越来越平和了，涨涨跌跌已引不起一丝波澜。静静等待，以岭花开的时
2021.12.01,成交量太弱了，虽然基本面，外部环境都利好以岭，但是没有资金关注，成交量几乎地量，
2021.12.01,每天都很平稳
2021.12.01,此股好垃圾
2021.12.01,传说的散仙为什么都疯疯癫癫，原来是散户买了以岭渡劫成功了
2021.12.01,耻辱[亏大了][亏大了][亏大了][看多][看多][看多]明天如果继续绿，就不情
2021.12.01,明涨
2021.12.01,磨几天再上，这是以岭常规
2021.12.01,[捂脸][捂脸][捂脸][捂脸]啥都不说了，，，，看图说话吧！
2021.12.01,中医以不变应万变
2021.12.01,今天16.78半仓以岭，来说下逻辑，新冠大概率不会像SARS一样，突然消灭，新冠
2021.12.01,这B和复兴一个庄，估计
2021.12.01,第一次买莲花清瘟胶囊，是2019年12月份，自己感冒了一直咳嗽，吃了这个药好了。
2021.12.01,建议：以岭药业董事会可以大胆协商在一定行政区域，以中医药为主要防治手段来控制新冠
2021.12.01,还要跌吧！莲花涨不冻
2021.12.01,非洲采购药物莲花清瘟胶囊占比很大
2021.12.01,股市套路深，步步是坑，坑里还有钉
2021.12.01,16.70差一分钱没买到[笑哭][笑哭][笑哭][笑哭]
2021.12.01,0
2021.12.01,别看散户多了3万，涨一元上去马上缴枪，就看庄有没有心情涨
2021.12.01,我怀疑就我和庄家玩一买就跌
2021.12.01,下午涨？
2021.12.01,从网上得出的信息是分析奥密克戎的特点，第一传染力比德尔塔还强很多，第二病毒毒性降
2021.12.01,真的服了自己，每次买了的都是自选里面跌的最多的，怀疑人生了[微笑]
2021.12.01,洗得干净
2021.12.01,说跌的都是想买的，说涨的都是想卖的。
2021.12.01,咋又绿了啊！
2021.12.01,1号你就跌，主力家很缺钱[大笑]
2021.12.01,以岭操作计划一一以岭可以建仓了，在17元上下又可以来回T，重心上移，又一轮洗盘循
2021.12.01,今天这走势漂亮啊！
2021.12.01,还是有一定韧性的
2021.12.01,幸好昨天跑了，知道就是个垃圾，跌停吧
2021.12.01,金叉了，怎么都跑了
2021.12.01,要求不高翻红就清仓
2021.12.01,两阴夹一阳
2021.12.01,以岭老儿哈哈
2021.12.01,还好跑的早
2021.12.01,套死了
2021.12.01,低位放量，你让我不买？打死也得买
2021.12.01,已套0.42
2021.12.01,现已套了0.19元
2021.12.01,又要崩了，以岭垃圾本质不变！抗疫台面不能让它出现，太丢人了，连散户都会汗颜，怎么
2021.12.01,非常重要的消息，以色列卫生部长本周二表示，初步迹象表明六个月内完全接种疫苗或者接
2021.12.01,买它是为了防御，涨几个点，跌几个点无所谓了
2021.12.01,莲花治百病。
2021.12.01,以岭药业：融资净偿还236.1万元，融资余额9.66亿元（11-30）
2021.12.01,多吃点。对股票好！！
2021.12.01,莲花清瘟这个名字，就比较好！清瘟，清除一切瘟疫！首先在心理上就是一种暗示。
